3fr	Hasselblad CFV/H3D39II
aai	AAI Dune image
ai	Adobe Illustrator CS2
art	PFS: 1st Publisher Clip Art
arw	Sony Alpha Raw Image Format
avi	Microsoft Audio/Visual Interleaved
avs	AVS X image
bgr	Raw blue, green, and red samples
bgra	Raw blue, green, red, and alpha samples
bgro	Raw blue, green, red, and opacity samples
bie	Joint Bi-level Image experts Group interchange format (2.1)
bmp	Microsoft Windows bitmap image
bmp2	Microsoft Windows bitmap image (V2)
bmp3	Microsoft Windows bitmap image (V3)
brf	BRF ASCII Braille format
cal	Continuous Acquisition and Life-cycle Support Type 1
cals	Continuous Acquisition and Life-cycle Support Type 1
canvas	Constant image uniform color
caption	Caption
cin	Cineon Image File
cip	Cisco IP phone image format
cmyk	Raw cyan, magenta, yellow, and black samples
cmyka	Raw cyan, magenta, yellow, black, and alpha samples
cr2	Canon Digital Camera Raw Image Format
crw	Canon Digital Camera Raw Image Format
cut	DR Halo
data	Base64-encoded inline images
dcm	Digital Imaging and Communications in Medicine image
dcr	Kodak Digital Camera Raw Image File
dcx	ZSoft IBM PC multi-page Paintbrush
dds	Microsoft DirectDraw Surface
dfont	Multi-face font package (Freetype 2.6.0)
dng	Digital Negative
dot	Graphviz
dpx	SMPTE 268M-2003 (DPX 2.0)
dxt1	Microsoft DirectDraw Surface
dxt5	Microsoft DirectDraw Surface
epdf	Encapsulated Portable Document Format
epi	Encapsulated PostScript Interchange format
eps	Encapsulated PostScript
eps2	Level II Encapsulated PostScript
eps3	Level III Encapsulated PostScript
epsf	Encapsulated PostScript
epsi	Encapsulated PostScript Interchange format
ept	Encapsulated PostScript with TIFF preview
ept2	Encapsulated PostScript Level II with TIFF preview
ept3	Encapsulated PostScript Level III with TIFF preview
erf	Epson Raw Format
exr	High Dynamic-range (HDR)
fax	Group 3 FAX
fits	Flexible Image Transport System
fractal	Plasma fractal image
fts	Flexible Image Transport System
g3	Group 3 FAX
gif	CompuServe graphics interchange format
gif87	CompuServe graphics interchange format (version 87a)
gradient	Gradual linear passing from one shade to another
gray	Raw gray samples
group4	Raw CCITT Group4
gv	Graphviz
h	Image expressed as a 'C/C++' char array
hald	Identity Hald color lookup table image
hdr	Radiance RGBE image format
histogram	Histogram of the image
hrz	Slow Scan TeleVision
icb	Truevision Targa image
iiq	Phase One Raw Image Format
info	The image format and characteristics
inline	Base64-encoded inline images
ipl	IPL Image Sequence
isobrl	ISO/TR 11548-1 format
isobrl6	ISO/TR 11548-1 format 6dot
j2c	JPEG-2000 Code Stream Syntax (2.1.0)
j2k	JPEG-2000 Code Stream Syntax (2.1.0)
jbg	Joint Bi-level Image experts Group interchange format (2.1)
jbig	Joint Bi-level Image experts Group interchange format (2.1)
jng	JPEG Network Graphics
jnx	Garmin tile format
jp2	JPEG-2000 File Format Syntax (2.1.0)
jpc	JPEG-2000 Code Stream Syntax (2.1.0)
jpe	Joint Photographic Experts Group JFIF format (62)
jpeg	Joint Photographic Experts Group JFIF format (62)
jpg	Joint Photographic Experts Group JFIF format (62)
jpm	JPEG-2000 Code Stream Syntax (2.1.0)
jps	Joint Photographic Experts Group JFIF format (62)
json	The image format and characteristics
k25	Kodak Digital Camera Raw Image Format
kdc	Kodak Digital Camera Raw Image Format
label	Image label
m2v	MPEG Video Stream
m4v	Raw MPEG-4 Video
mac	MAC Paint
magick	Predefined Magick Image (LOGO, ROSE, etc.); output same as 'H'
map	Colormap intensities and indices
mat	MATLAB level 5 image format
matte	MATTE format
mef	Mamiya Raw Image File
miff	Magick Image File Format
mkv	Multimedia Container
mng	Multiple-image Network Graphics (libpng 1.6.19)
mono	Raw bi-level bitmap
mov	MPEG Video Stream
mp4	MPEG-4 Video Stream
mpc	Magick Persistent Cache image format
mpeg	MPEG Video Stream
mpg	MPEG Video Stream
mrw	Sony (Minolta) Raw Image File
msvg	ImageMagick's own SVG internal renderer
mtv	MTV Raytracing image format
nef	Nikon Digital SLR Camera Raw Image File
nrw	Nikon Digital SLR Camera Raw Image File
null	Constant image of uniform color
orf	Olympus Digital Camera Raw Image File
otb	On-the-air bitmap
otf	Open Type font (Freetype 2.6.0)
pal	16bit/pixel interleaved YUV
palm	Palm pixmap
pam	Common 2-dimensional bitmap format
pango	Pango Markup Language (Pangocairo 1.38.1)
pattern	Predefined pattern
pbm	Portable bitmap format (black and white)
pcd	Photo CD
pcds	Photo CD
pcl	Printer Control Language
pct	Apple Macintosh QuickDraw/PICT
pcx	ZSoft IBM PC Paintbrush
pdb	Palm Database ImageViewer Format
pdf	Portable Document Format
pdfa	Portable Document Archive Format
pef	Pentax Electronic File
pes	Embrid Embroidery Format
pfa	Postscript Type 1 font (ASCII) (Freetype 2.6.0)
pfb	Postscript Type 1 font (binary) (Freetype 2.6.0)
pfm	Portable float format
pgm	Portable graymap format (gray scale)
picon	Personal Icon
pict	Apple Macintosh QuickDraw/PICT
pix	Alias/Wavefront RLE image format
pjpeg	Joint Photographic Experts Group JFIF format (62)
plasma	Plasma fractal image
png	Portable Network Graphics (libpng 1.6.19)
png00	PNG inheriting bit-depth, color-type from original if possible
png24	opaque or binary transparent 24-bit RGB (zlib 1.2.8)
png32	opaque or transparent 32-bit RGBA
png48	opaque or binary transparent 48-bit RGB
png64	opaque or transparent 64-bit RGBA
png8	8-bit indexed with optional binary transparency
pnm	Portable anymap
ppm	Portable pixmap format (color)
preview	Show a preview an image enhancement, effect, or f/x
ps	PostScript
ps2	Level II PostScript
ps3	Level III PostScript
psb	Adobe Large Document Format
psd	Adobe Photoshop bitmap
ptif	Pyramid encoded TIFF
pwp	Seattle Film Works
radial-gradient	r--   Gradual radial passing from one shade to another
raf	Fuji CCD-RAW Graphic File
ras	SUN Rasterfile
raw	Raw
rgb	Raw red, green, and blue samples
rgba	Raw red, green, blue, and alpha samples
rgbo	Raw red, green, blue, and opacity samples
rla	Alias/Wavefront image
rle	Utah Run length encoded image
rmf	Raw Media Format
rw2	Panasonic Lumix Raw Image
scr	ZX-Spectrum SCREEN$
sct	Scitex HandShake
sfw	Seattle Film Works
sgi	Irix RGB image
shtml	Hypertext Markup Language and a client-side image map
six	DEC SIXEL Graphics Format
sixel	DEC SIXEL Graphics Format
sparse-color	Sparse Color
sr2	Sony Raw Format 2
srf	Sony Raw Format
stegano	Steganographic image
sun	SUN Rasterfile
svg	Scalable Vector Graphics (RSVG 2.40.12)
svgz	Compressed Scalable Vector Graphics (RSVG 2.40.12)
tga	Truevision Targa image
thumbnail	EXIF Profile Thumbnail
tiff	Tagged Image File Format (LIBTIFF, Version 4.0.4)
tiff64	Tagged Image File Format (64-bit) (LIBTIFF, Version 4.0.4)
tile	Tile image with a texture
tim	PSX TIM
ttc	TrueType font collection (Freetype 2.6.0)
ttf	TrueType font (Freetype 2.6.0)
ubrl	Unicode Text format
ubrl6	Unicode Text format 6dot
uil	X-Motif UIL table
uyvy	16bit/pixel interleaved YUV
vda	Truevision Targa image
vicar	VICAR rasterfile format
vid	Visual Image Directory
viff	Khoros Visualization image
vips	VIPS image
vst	Truevision Targa image
wbmp	Wireless Bitmap (level 0) image
webp	WebP Image Format (libwebp 0.4.4[0203])
wmf	Windows Meta File
wmv	Windows Media Video
wmz	Compressed Windows Meta File
wpg	Word Perfect Graphics
x	X Image
